WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha)
9.7,5.3,546.39
13.5,13.5,1000
12,11.7,975
12.1,12.4,1024.79
10.4,6.8,653.85
16.9,13.3,786.98
18.3,15.2,830.6
21,24,1142.86
24,23,958.33
18.8,19.5,1037.23
18.8,22,1170.21
20.4,25.3,1240.2
18.2,18,989.01
12.9,13,1007.75
17.4,20.7,1189.66
20.1,25.8,1283.58
20.8,26.8,1288.46
21.2,27.7,1306.6
21.2,23.1,1089.62
21.7,26.3,1211.98
0,0,0
23.47,33.31,1419.26
25,33.18,1327.2
23.69,29.71,1254.12
25.36,29.24,1153
24.13,24.32,1007.87
24.13,24.32,1007.87
24.39,23.79,975.4
24.07,30.09,1250.1
24.81,29.68,1196.29
24.47,26.84,1096.85
23.98,27.45,1144.7
25.29,32.02,1266.11
25.21,41.92,1662.83
26.77,41.33,1543.89
26.02,43.61,1676.02
23.87,33.51,1403.85
23.63,37.56,1589.23
23.18,37.09,1599.85
84,39,464.29
133,71,533.83
128.8,64,496.89
141.7,76.6,540.58
150.2,100.3,667.78
164.3,103.1,627.51
160.4,94,586.03
152.9,116.4,761.28
128,67.6,528.13
159.2,124.7,783.29
139.9,61.2,437.46
168,97.1,577.98
180.8,124.3,687.5
123.2,45.6,370.13
184.7,144.7,783.43
146.2,75,513
139.5,99.6,713.98
165.2,181.4,1098.06
159.5,125.1,784.33
183.4,129.2,704.47
121,80,661.16
156,146,935.9
154.8,161.5,1043.28
127.4,113.8,893.25
166.3,167.9,1009.62
143.5,134,933.8
161.2,194.9,1209.06
170.7,200.4,1173.99
165.6,215.5,1301.33
149.3,182,1219.02
144.2,166.5,1154.65
185.8,169.1,910.12
186.34,136.5,732.53
188.5,253.4,1344.3
154.3,195.9,1269.6
159.1,220.5,1385.92
148.9,170,1141.71
157.2,241.2,1534.35
156.45,231.69,1480.92
156.55,255.66,1633.09
144.1,226.35,1570.78
130.4,166.2,1274.54
157.7,245.8,1558.66
162,229.4,1416.05
162.7,339.5,2086.66
166,381.6,2298.8
201.13,559.1,2779.79
218.66,546.79,2500.64
227,598,2634.36
202,623,3084.16
237,827,3489.45
300.7,1037.13,3449.05
15,5,333.33
16,3,187.5
14.5,6,413.79
14.7,4.5,306.12
14.5,6.8,468.97
14.9,5.6,375.84
14.9,5,335.57
17.2,6.6,383.72
18.1,7.5,414.36
25,10.1,404
19.7,5.5,279.19
21.2,8.5,400.94
21.6,10.1,467.59
12.8,5.2,406.25
18,14.7,816.67
19,15.7,826.32
18,12.2,677.78
20.2,7.2,356.44
15.1,7.1,470.2
20.3,6.1,300.49
21,21,1000
22,13,590.91
22.5,16.6,737.78
22.9,18.6,812.23
23.8,22.7,953.78
18.8,11.7,622.34
19.1,13.5,706.81
22.6,19.5,862.83
26.7,24.8,928.84
25.2,22.1,876.98
15.6,14.3,916.67
13.1,6.5,496.18
19.1,14.1,738.22
18.5,18.6,1005.41
14,9.8,700
16,14.6,912.5
16.6,17.6,1060.24
16.3,17.4,1067.48
11.34,7.9,696.65
16.58,15.84,955.37
15.05,11.43,759.47
14.7,13.2,897.96
15.1,12.3,814.57
14.7,19.5,1326.53
15.1,22.9,1516.56
22.7,29.8,1312.78
18.32,23.72,1294.76
17.52,22.85,1304.22
38,56,1473.68
20,27,1350
35,64,1828.57
55.56,138.12,2485.96
50,22.4,448
54,28.1,520.37
58.5,34,581.2
58.9,33.3,565.37
63.5,40.1,631.5
68.4,42.4,619.88
