WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha)
54.57,35.42,649.01
45,5,111.11
51,17,333.33
56.3,22,390.76
58.6,37.2,634.81
56.5,14.8,261.95
58.4,39.2,671.23
53.4,22.6,423.22
55.8,49.1,879.93
60.9,55.7,914.61
59.2,48.5,819.26
55.6,22.2,399.28
59.2,29.9,505.07
68.6,40.6,591.84
62.5,46.3,740.8
56.5,30.3,536.28
57.8,42.5,735.29
56.1,48.4,862.75
51.3,37.4,729.04
67.6,55.6,822.49
48.3,18.6,385.09
53,33,622.64
48,28,583.33
42.7,50.6,1185.01
43,23.8,553.49
36.94,30.91,836.76
38.9,38.79,997.17
42.82,37.47,875.06
48.8,49.55,1015.37
46.2,47.57,1029.65
48.3,39.38,815.32
55.73,48.85,876.55
55.13,41.22,747.69
54.4,61.35,1127.76
54.43,65.49,1203.2
56.8,73,1285.21
45.65,49.75,1089.81
52.3,38.11,728.68
51.45,32.01,622.16
56.81,59.11,1040.49
63.04,65.63,1041.08
72.37,89.93,1242.64
62.96,78.13,1240.95
32.71,39.23,1199.33
57.14,59,1032.55
54.24,67.91,1252.03
44.01,43.95,998.64
47.29,42.59,900.61
39.36,37.43,950.97
46.81,74.09,1582.78
32.91,29.76,904.28
50.77,69.6,1370.84
46.35,70.18,1514.29
76,11,144.74
84,26,309.52
89.1,44,493.83
95.5,39.7,415.71
91.5,31.7,346.45
99.5,48.9,491.46
77.3,20.7,267.79
76.9,44.5,578.67
87.5,82.2,939.43
112,80.6,719.64
103.2,60.2,583.33
105.5,63.5,601.9
108.7,61.9,569.46
106.7,61.9,580.13
77.2,51.3,664.51
93.9,58.1,618.74
94,49.1,522.34
93.2,54.7,586.91
94.1,49.4,524.97
81.4,36.6,449.63
85,44,517.65
56,34,607.14
65.4,51.7,790.52
58,37.2,641.38
46.4,31.87,686.85
40.95,35.48,866.42
52.71,40.01,759.06
58.17,57.04,980.57
62.35,55.16,884.68
53.48,42.99,803.85
60.98,58.94,966.55
60.8,29.12,478.95
84.9,73.7,868.08
75.63,74.14,980.3
75.2,85,1130.32
83.26,88.43,1062.09
73.49,70.5,959.31
49.73,36.13,726.52
70.32,77.5,1102.1
72.94,77.07,1056.62
84.19,65.88,782.52
94.36,109.41,1159.5
0,0,0
107.8,113.52,1053.06
88.66,92.64,1044.89
71.63,56.53,789.19
72.99,63.04,863.68
75.41,75.89,1006.37
76.95,91.28,1186.22
73.96,56.56,764.74
56.13,59.82,1065.77
68.7,79.05,1150.69
6,6,1000
6,5,833.33
3.9,2,512.82
5.6,3.8,678.57
7.6,8.2,1078.95
7.1,10.6,1492.96
7,3.9,557.14
9,9.3,1033.33
10.3,15.2,1475.73
12.1,14.8,1223.14
11.4,15.9,1394.74
12.7,13.9,1094.49
15.4,14.2,922.08
14.2,15.9,1119.72
12,11.5,958.33
13.1,13.9,1061.07
11.8,16.3,1381.36
21.9,23.1,1054.79
15.2,17.7,1164.47
14.5,13,896.55
7,8,1142.86
8,7,875
10,6.4,640
10,7.2,720
10.48,6.64,633.59
5.93,4.54,765.6
6.13,5.12,835.24
6.76,4.82,713.02
5.03,2.9,576.54
6.97,5.66,812.05
8.62,6.85,794.66
7.11,5.15,724.33
8.13,7.04,865.93
7.37,7.41,1005.43
9.5,9,947.37
10.1,8.19,810.89
8.84,5.98,676.47
7.89,4.62,585.55
7.37,4.55,617.37
7.75,4.71,607.74
7.34,5.44,741.14
6.89,8.33,1209
19.45,19.7,1012.85
6.39,8.52,1333.33
7.88,9.44,1197.97
6.91,7.49,1083.94
6.88,9.42,1369.19
6.66,8.5,1276.28
4.34,5.39,1241.94
3.84,4.28,1114.58
4.71,6.31,1340.48
4.66,6.23,1338.63
31,5,161.29
37,27,729.73
32.3,20,619.2
31.2,14.9,477.56
30.1,16.6,551.5
37.5,29.1,776
35.9,17.2,479.11
36.2,22.3,616.02
29.5,27.6,935.59
35.9,23.9,665.74
20.6,17.1,830.1
26.2,19.5,744.27
25.5,17.7,694.12
24.5,7.6,310.2
21.8,12.8,587.16
24.4,20.9,856.56
26,21.3,819.23
22.5,7.9,351.11
24.1,6.2,257.26
28.2,13.2,468.09
23,8,347.83
21,9,428.57
15.1,3.8,251.66
18.6,4.4,236.56
15.85,2.63,165.93
12.38,2.17,175.28
15.17,4.35,286.75
13.31,6.17,463.56
17.08,7.43,435.01
15.31,3.4,222.08
16.56,5.58,336.96
18.6,3.73,200.54
15.45,5.87,379.94
13.73,6.38,464.68
14.6,7,479.45
11.92,3.74,313.76
15.46,2.88,186.29
11.16,1.51,135.3
12.51,5.13,410.07
10.51,4.49,427.21
8.95,2.97,331.84
12.04,6.51,540.7
1.32,0.53,401.52
13.07,6.26,478.96
11.72,8.69,741.47
6.73,3.51,521.55
8.87,5.12,577.23
8.04,6.98,868.16
7.02,8.75,1246.44
3.18,1.19,374.21
2.89,1.01,348.32
6.93,3.82,551.9
23,4,173.91
28,10,357.14
27.8,17,611.51
29.5,13.5,457.63
31.5,20.2,641.27
33.6,23.1,687.5
24.9,7.9,317.27
28.1,18.3,651.25
36.6,19.9,543.72
50.1,24.6,491.02
43.6,25.1,575.69
40,23.7,592.5
40.5,23.3,575.31
32.5,19.6,603.08
35,18.5,528.57
31.2,16.9,541.67
31.6,13,411.39
32.9,20.3,617.02
32.9,11.9,361.7
33.5,24.9,743.28
29,12,413.79
30,19,633.33
28.2,12.3,436.17
35.1,23.5,669.52
30.4,20.42,671.71
22.17,12.9,581.87
23.49,17.89,761.6
21.11,13.68,648.03
23.58,10.06,426.63
20.61,11.26,546.34
23.14,11.52,497.84
19.14,6.23,325.5
21.88,10.95,500.46
24.01,12.54,522.28
31.9,24,752.35
29.46,17.46,592.67
20.39,9.76,478.67
17.52,7.7,439.5
16.52,11.49,695.52
19.88,15,754.53
17.99,12.67,704.28
17.94,17.28,963.21
0.02,0.02,1000
24.57,26.29,1070
19.5,27.02,1385.64
18.2,27.19,1493.96
12.37,15.66,1265.97
14.03,24.03,1712.76
15.23,24.89,1634.27
9.48,9.5,1002.11
9.41,18.73,1990.86
11.07,23.02,2078.92
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.92,7.04,1795.92
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0
0.01,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11.95,24.86,2080.33
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.03,0.01,333.33
0.03,0.01,333.33
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.02,0,0
0.09,0,0
0.01,0,0
0.03,0,0
0,0,0
0.02,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.3,0.1,333.33
0.2,0,0
0.2,0.1,500
0.2,0.1,500
0,0,0
0,0,0
0.2,0.1,500
0,0,0
0.1,0.1,1000
0.1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.05,0.03,600
0.08,0.04,500
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0
0,0,0
0,0,0
0,0,0
0.26,0,0
0.02,0,0
0,0,0
0.18,0,0
0.03,0,0
0.01,0,0
0.06,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.2,0.1,500
0.2,0,0
0.2,0.1,500
0.4,0.1,250
0.4,0.1,250
0.4,0.2,500
0.2,0.1,500
0.3,0.2,666.67
0.3,0.2,666.67
0.3,0.2,666.67
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.07,0.06,857.14
0.08,0.06,750
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0
0.01,0,0
0.02,0,0
0,0,0
0.17,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.4,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.4,0.1,250
0.4,0,0
0.4,0.1,250
0.4,0.1,250
0.4,0.1,250
0.2,0.1,500
0.3,0.1,333.33
0.2,0.1,500
0.2,0.1,500
0.1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.2,0.08,400
0.08,0.03,375
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.02,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.3,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.8,0.3,375
0.6,0,0
0.6,0.3,500
0.7,0.3,428.57
0.7,0.3,428.57
0.4,0.1,250
0.6,0.3,500
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.1,0,0
0.1,0.1,1000
0.05,0.02,400
0.11,0.04,363.64
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.1,0,0
0,0,0
0.1,0,0
0.4,0.4,1000
2.1,2.7,1285.71
0.4,0.3,750
0.2,0.5,2500
0,0,0
0.3,0,0
0.1,0,0
0.1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.1,0.1,1000
0.1,0.1,1000
0,0,0
0.1,0.1,1000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.1,0.1,1000
0.1,0.1,1000
0.1,0.08,800
0.1,0.1,1000
0,0,0
0.1,0.1,1000
0.1,0.1,1000
0.1,0.1,1000
0.2,0.2,1000
0.2,0.2,1000
0.2,0.2,1000
0.1,0.1,1000
0.1,0.08,800
0.1,0.15,1500
0.1,0.1,1000
0,0,0
0,0,0
0,0,0
0.04,0.04,1000
0.04,0.1,2833.33
0.02,0.02,1419.35
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.4,0.6,1500
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0.01,1000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.1,0.2,2000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
86,38,441.86
86,46,534.88
89.2,49,549.33
79.3,40,504.41
78,56.4,723.08
94.4,43,455.51
52.9,15,283.55
87.4,61.9,708.24
94.3,66.9,709.44
108.4,93.7,864.39
119.5,97.1,812.55
113.2,81.4,719.08
108.1,78,721.55
119.5,100,836.82
105.3,93.1,884.14
106.5,86.5,812.21
92.1,63.3,687.3
95.4,74,775.68
92.8,72,775.86
85,55.7,655.29
67.7,44.6,658.79
76,64,842.11
89,107.4,1206.74
82.5,89.1,1080
88.8,90.9,1023.65
68.9,57.7,837.45
60.6,75.8,1250.83
64.8,94.3,1455.25
72.8,120.1,1649.73
61.9,82.7,1336.03
73.8,106.9,1448.51
69.9,90.3,1291.85
83.9,112.2,1337.31
85.7,122.6,1430.57
39.4,44.5,1129.44
36.8,48.9,1328.8
35,49.5,1414.29
35.5,41.3,1163.38
55.6,81.3,1462.23
70.6,116.6,1651.56
84.1,137.7,1637.34
79,149,1886.08
71.9,115.9,1611.96
73,117.92,1615.34
75.3,143.7,1908.37
52.4,102.6,1958.02
32.4,53.17,1641.05
65.9,111.9,1698.03
72.4,111.2,1535.91
60,81.1,1351.67
79.2,177.6,2242.42
112.46,223.6,1988.3
40,18,450
44,31,704.55
42.5,35,823.53
49,37.3,761.22
50.4,49.5,982.14
45.7,37,809.63
33,14.4,436.36
45,42.5,944.44
44.7,40.8,912.75
47.4,60.9,1284.81
53,52.9,998.11
54.6,49.3,902.93
46.2,41.6,900.43
52.7,53,1005.69
44.2,44.2,1000
45.1,51.5,1141.91
40.8,30.2,740.2
50.8,64.8,1275.59
44.1,55.5,1258.5
32.5,23.6,726.15
28,22,785.71
27,24,888.89
36.1,42.5,1177.29
33.4,32.2,964.07
32.9,33.4,1015.2
19.2,19.9,1036.46
24.4,31.7,1299.18
22.2,33.5,1509.01
23.5,34.2,1455.32
16.4,18.4,1121.95
19.7,29.7,1507.61
18.2,24,1318.68
19.3,26.9,1393.78
19.9,27.2,1366.83
14.8,14.3,966.22
17.7,20.8,1175.14
22,27.6,1254.55
26.7,43.2,1617.98
32.9,54,1641.34
34.2,60.1,1757.31
42.2,75.7,1793.84
50.8,124.2,2444.88
30.7,55.5,1807.82
49.9,108.78,2179.96
53,119.55,2255.66
52.3,126.64,2421.42
61.5,133.26,2166.83
68.7,123.3,1794.76
57.9,104.8,1810.02
66.5,108,1624.06
58.8,125,2125.85
75.66,159.7,2110.73
29,16,551.72
29,17,586.21
35.3,27,764.87
37.6,34.4,914.89
46.4,52.1,1122.84
50.9,50.4,990.18
33.3,25.5,765.77
47.6,48.9,1027.31
45.3,49.1,1083.89
58.3,68.5,1174.96
63.4,56.1,884.86
47.9,51.1,1066.81
55.6,49.9,897.48
60.6,50,825.08
50.2,56.7,1129.48
52.9,69.8,1319.47
42.5,45.1,1061.18
55.6,60,1079.14
42.5,32.5,764.71
42.9,33,769.23
41,32,780.49
49,48,979.59
30.9,46.5,1504.85
32.8,49,1493.9
35.3,55.9,1583.57
32.3,33.9,1049.54
35.8,60.2,1681.56
31.7,65.4,2063.09
37.1,80.2,2161.73
31.1,45.3,1456.59
39.8,74.4,1869.35
31.9,42.2,1322.88
43.8,72.2,1648.4
46.9,88.3,1882.73
22.6,31.6,1398.23
23.8,39.3,1651.26
27.7,53.2,1920.58
33,61.5,1863.64
38.4,77.7,2023.44
36.2,66.8,1845.3
50.8,111.9,2202.76
52.6,137.7,2617.87
31.6,64.6,2044.3
50.9,109.98,2160.71
66,164.59,2493.79
25.9,60.23,2325.48
25.3,52.97,2093.68
25.3,64.8,2561.27
49.6,81.1,1635.08
42.3,63.5,1501.18
52.7,106.1,2013.28
51.01,97.3,1907.32
38,17,447.37
40,14,350
43.1,28,649.65
49,22.8,465.31
46.6,28.7,615.88
52.6,31.5,598.86
44.3,21.7,489.84
55.4,38.7,698.56
47.7,56.3,1180.29
75.4,90.1,1194.96
76.2,75.1,985.56
67.5,76.3,1130.37
73.6,78.7,1069.29
74.4,79,1061.83
67.2,74.9,1114.58
71,80.4,1132.39
63.8,73.4,1150.47
81.8,107.1,1309.29
71.4,85.7,1200.28
53.9,59.9,1111.32
42,40,952.38
46,48,1043.48
76,101.6,1336.84
77.2,89.8,1163.21
81,97.6,1204.94
77.7,87.9,1131.27
72.5,75.4,1040
76.8,118.7,1545.57
72.6,113.9,1568.87
66.5,99.7,1499.25
89,151.9,1706.74
90,98.4,1093.33
124.4,154.2,1239.55
127,178.8,1407.87
94.7,135.8,1434
93.8,156.3,1666.31
70.4,88.5,1257.1
39.2,39.5,1007.65
89.3,154.6,1731.24
103.1,153.8,1491.76
153.9,248.1,1612.09
130.9,271.1,2071.05
138.2,219.2,1586.11
129.5,215.99,1667.88
133.7,248.91,1861.71
48.1,88.69,1843.87
38.9,46.09,1184.83
51.9,100.7,1940.27
57.2,85,1486.01
41.1,50.1,1218.98
60,127.2,2120
79.8,177.5,2224.31
22,10,454.55
21,11,523.81
20,11,550
23.5,13.8,587.23
24,15.6,650
24.3,19.6,806.58
19.1,14.9,780.1
22.4,21.9,977.68
27.3,37,1355.31
33.3,48.9,1468.47
42.7,53.8,1259.95
39.5,49.8,1260.76
38.9,44.3,1138.82
43.4,49,1129.03
44.8,43.7,975.45
48.8,47.4,971.31
44.2,47.1,1065.61
48.2,59.1,1226.14
49.5,57.6,1163.64
48.5,47,969.07
45,46,1022.22
47,57,1212.77
57.2,75,1311.19
49.9,62.9,1260.52
56.4,67,1187.94
52.4,65.7,1253.82
52.7,65,1233.4
52.4,83.2,1587.79
49.8,73.3,1471.89
48.6,65.8,1353.91
55.6,85.7,1541.37
54.5,67.9,1245.87
68,96,1411.76
71.8,125,1740.95
55.5,57,1027.03
59.5,101.2,1700.84
64.7,81.9,1265.84
38.8,47.5,1224.23
52.5,86.9,1655.24
61.3,112.9,1841.76
72.9,132.1,1812.07
73.4,155,2111.72
60.9,112.3,1844.01
59.6,91.81,1540.44
60,115.93,1932.17
55.3,105.56,1908.86
53,93.82,1770.19
64.3,129.9,2020.22
71.8,108.3,1508.36
62,129.6,2090.32
68.9,165.2,2397.68
72.4,177.2,2447.51
12,6,500
14,11,785.71
13.8,11,797.1
16.4,9.8,597.56
15.7,10.2,649.68
16.2,10.9,672.84
12.7,7.2,566.93
17.5,12.8,731.43
15.7,19,1210.19
18.1,21.5,1187.85
19.3,16.1,834.2
20.5,23.7,1156.1
24.9,23.3,935.74
25.2,25,992.06
25.9,30.8,1189.19
26.5,26.5,1000
26.1,30.8,1180.08
27.6,32.9,1192.03
27.7,36.4,1314.08
34.2,28.6,836.26
32,24,750
22,24,1090.91
25.1,42.3,1685.26
26,35.1,1350
25.8,32.6,1263.57
27.4,44.2,1613.14
27.2,31.2,1147.06
30.2,50.4,1668.87
32.9,53.8,1635.26
30.9,48.6,1572.82
32.5,59.2,1821.54
32.1,47,1464.17
35.8,63.1,1762.57
37.9,70.2,1852.24
32.9,51.6,1568.39
35.7,64.9,1817.93
35.3,48.7,1379.6
23.6,34.1,1444.92
38.1,68.3,1792.65
39.2,73.5,1875
43.1,78.1,1812.06
43.3,94,2170.9
40.2,69.1,1718.91
42,69.01,1643.1
43.7,86.48,1978.95
36.6,67.82,1853.01
35,58.54,1672.57
33.8,62.2,1840.24
38.3,61.4,1603.13
29.7,49,1649.83
35.6,71.2,2000
37.2,75.1,2018.82
14,6,428.57
13,8,615.38
13.4,9,671.64
12.4,7.9,637.1
12.9,8.9,689.92
15.8,8.4,531.65
9.8,4.6,469.39
18.1,10.6,585.64
21.9,17.6,803.65
32.2,29.8,925.47
29.8,22.9,768.46
37.3,27.2,729.22
33,24.7,748.48
37.4,33,882.35
36.7,25.6,697.55
40.4,28.3,700.5
38.1,23.6,619.42
37.9,34.4,907.65
34.9,25.6,733.52
31.7,22.3,703.47
31,16,516.13
18,17,944.44
19.6,28.6,1459.18
22.3,24.5,1098.65
21.7,24.4,1124.42
24.9,32.8,1317.27
18.8,24.6,1308.51
21.7,32.4,1493.09
19.9,32.5,1633.17
22.8,32.3,1416.67
23.3,34.5,1480.69
19,24.2,1273.68
29,43.1,1486.21
31,57.7,1861.29
26.3,44.7,1699.62
28.9,50,1730.1
22.4,28.5,1272.32
12.6,20.3,1611.11
29.4,50.2,1707.48
26,41.7,1603.85
29.6,47.7,1611.49
29.8,58.4,1959.73
24.6,45.3,1841.46
34.3,57.47,1675.51
39.3,72.93,1855.73
20,34.03,1701.5
20.1,36.48,1814.93
26.2,51.5,1965.65
32.5,70.9,2181.54
19.2,32.4,1687.5
25.6,63.6,2484.37
25.1,49.8,1984.06
18,7,388.89
23,15,652.17
26.3,15,570.34
26.6,15.5,582.71
31.7,22.7,716.09
39.1,29.4,751.92
19.7,10.9,553.3
42.7,29.3,686.18
47.3,47.1,995.77
62.9,51.9,825.12
52.1,32.9,631.48
48.8,41,840.16
51.1,41.7,816.05
52,49,942.31
49.5,35.9,725.25
51,49.6,972.55
46,35,760.87
54,64.1,1187.04
48.2,39.6,821.58
41.9,32.6,778.04
34,29,852.94
36,35,972.22
49.4,64.7,1309.72
44.9,46.3,1031.18
45,48,1066.67
